Ticker,city,state,country,industry,sector,fullTimeEmployees,exchange,shortName,longName
LNT,Madison,WI,United States,Utilities - Regulated Electric,Utilities,3129,NMS,Alliant Energy Corporation,Alliant Energy Corporation
ALL,Northbrook,IL,United States,Insurance - Property & Casualty,Financial Services,54000,NYQ,Allstate Corporation (The),The Allstate Corporation
GOOGL,Mountain View,CA,United States,Internet Content & Information,Communication Services,181798,NMS,Alphabet Inc.,Alphabet Inc.
GOOG,Mountain View,CA,United States,Internet Content & Information,Communication Services,181798,NMS,Alphabet Inc.,Alphabet Inc.
MO,Richmond,VA,United States,Tobacco,Consumer Defensive,6300,NYQ,"Altria Group, Inc.","Altria Group, Inc."
AMZN,Seattle,WA,United States,Internet Retail,Consumer Cyclical,1541000,NMS,"Amazon.com, Inc.","Amazon.com, Inc."
AMCR,Zurich,,Switzerland,Packaging & Containers,Consumer Cyclical,41000,NYQ,Amcor plc,Amcor plc
AMD,Santa Clara,CA,United States,Semiconductors,Technology,25000,NMS,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc."
AEE,Saint Louis,MO,United States,Utilities - Regulated Electric,Utilities,9244,NYQ,Ameren Corporation,Ameren Corporation
AAL,Fort Worth,TX,United States,Airlines,Industrials,129700,NMS,"American Airlines Group, Inc.",American Airlines Group Inc.
AEP,Columbus,OH,United States,Utilities - Regulated Electric,Utilities,16974,NMS,American Electric Power Company,"American Electric Power Company, Inc."
AXP,New York,NY,United States,Credit Services,Financial Services,77300,NYQ,American Express Company,American Express Company
AIG,New York,NY,United States,Insurance - Diversified,Financial Services,26200,NYQ,"American International Group, I","American International Group, Inc."
AMT,Boston,MA,United States,REIT - Specialty,Real Estate,6391,NYQ,American Tower Corporation (REI,American Tower Corporation
AWK,Camden,NJ,United States,Utilities - Regulated Water,Utilities,6500,NYQ,"American Water Works Company, I","American Water Works Company, Inc."
AMP,Minneapolis,MN,United States,Asset Management,Financial Services,13500,NYQ,"Ameriprise Financial, Inc.","Ameriprise Financial, Inc."
AME,Berwyn,PA,United States,Specialty Industrial Machinery,Industrials,19600,NYQ,"AMETEK, Inc.","AMETEK, Inc."
AMGN,Thousand Oaks,CA,United States,Drug Manufacturers - General,Healthcare,25200,NMS,Amgen Inc.,Amgen Inc.
APH,Wallingford,CT,United States,Electronic Components,Technology,91000,NYQ,Amphenol Corporation,Amphenol Corporation
ADI,Wilmington,MA,United States,Semiconductors,Technology,24450,NMS,"Analog Devices, Inc.","Analog Devices, Inc."
ANSS,Canonsburg,PA,United States,Software - Application,Technology,6000,NMS,"ANSYS, Inc.","ANSYS, Inc."
AON,Dublin,,Ireland,Insurance Brokers,Financial Services,50000,NYQ,Aon plc,Aon plc
APA,Houston,TX,United States,Oil & Gas E&P,Energy,2273,NMS,APA Corporation,APA Corporation
AAPL,Cupertino,CA,United States,Consumer Electronics,Technology,164000,NMS,Apple Inc.,Apple Inc.
AMAT,Santa Clara,CA,United States,Semiconductor Equipment & Materials,Technology,34500,NMS,"Applied Materials, Inc.","Applied Materials, Inc."
APTV,Dublin,,Ireland,Auto Parts,Consumer Cyclical,160000,NYQ,Aptiv PLC,Aptiv PLC
ACGL,Pembroke,,Bermuda,Insurance - Diversified,Financial Services,5800,NMS,Arch Capital Group Ltd.,Arch Capital Group Ltd.
ANET,Santa Clara,CA,United States,Computer Hardware,Technology,3612,NYQ,"Arista Networks, Inc.","Arista Networks, Inc."
AJG,Rolling Meadows,IL,United States,Insurance Brokers,Financial Services,45641,NYQ,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.
AIZ,Atlanta,GA,United States,Insurance - Specialty,Financial Services,13700,NYQ,"Assurant, Inc.","Assurant, Inc."
T,Dallas,TX,United States,Telecom Services,Communication Services,160700,NYQ,AT&T Inc.,AT&T Inc.
ATO,Dallas,TX,United States,Utilities - Regulated Gas,Utilities,4791,NYQ,Atmos Energy Corporation,Atmos Energy Corporation
