Ticker,city,state,country,industry,sector,fullTimeEmployees,exchange,shortName,longName
GILD,Foster City,CA,United States,Drug Manufacturers - General,Healthcare,17000,NMS,"Gilead Sciences, Inc.","Gilead Sciences, Inc."
GL,McKinney,TX,United States,Insurance - Life,Financial Services,3543,NYQ,Globe Life Inc.,Globe Life Inc.
GPN,Atlanta,GA,United States,Specialty Business Services,Industrials,25000,NYQ,Global Payments Inc.,Global Payments Inc.
GS,New York,NY,United States,Capital Markets,Financial Services,45900,NYQ,"Goldman Sachs Group, Inc. (The)","The Goldman Sachs Group, Inc."
HAL,Houston,TX,United States,Oil & Gas Equipment & Services,Energy,47000,NYQ,Halliburton Company,Halliburton Company
HIG,Hartford,CT,United States,Insurance - Diversified,Financial Services,18800,NYQ,Hartford Financial Services Gro,"The Hartford Financial Services Group, Inc."
HAS,Pawtucket,RI,United States,Leisure,Consumer Cyclical,6490,NMS,"Hasbro, Inc.","Hasbro, Inc."
HCA,Nashville,TN,United States,Medical Care Facilities,Healthcare,207000,NYQ,"HCA Healthcare, Inc.","HCA Healthcare, Inc."
PEAK,Denver,CO,United States,REIT - Healthcare Facilities,Real Estate,199,NYQ,"Healthpeak Properties, Inc.","Healthpeak Properties, Inc."
HSIC,Melville,NY,United States,Medical Distribution,Healthcare,23000,NMS,"Henry Schein, Inc.","Henry Schein, Inc."
HSY,Hershey,PA,United States,Confectioners,Consumer Defensive,18075,NYQ,The Hershey Company,The Hershey Company
HES,New York,NY,United States,Oil & Gas E&P,Energy,1623,NYQ,Hess Corporation,Hess Corporation
HPE,Spring,TX,United States,Communication Equipment,Technology,60200,NYQ,Hewlett Packard Enterprise Comp,Hewlett Packard Enterprise Company
HLT,McLean,VA,United States,Lodging,Consumer Cyclical,159000,NYQ,Hilton Worldwide Holdings Inc.,Hilton Worldwide Holdings Inc.
HOLX,Marlborough,MA,United States,Medical Instruments & Supplies,Healthcare,6944,NMS,"Hologic, Inc.","Hologic, Inc."
HD,Atlanta,GA,United States,Home Improvement Retail,Consumer Cyclical,470000,NYQ,"Home Depot, Inc. (The)","The Home Depot, Inc."
HON,Charlotte,NC,United States,Conglomerates,Industrials,97000,NMS,Honeywell International Inc.,Honeywell International Inc.
HRL,Austin,MN,United States,Packaged Foods,Consumer Defensive,20000,NYQ,Hormel Foods Corporation,Hormel Foods Corporation
HST,Bethesda,MD,United States,REIT - Hotel & Motel,Real Estate,165,NMS,"Host Hotels & Resorts, Inc.","Host Hotels & Resorts, Inc."
HWM,Pittsburgh,PA,United States,Aerospace & Defense,Industrials,21400,NYQ,Howmet Aerospace Inc.,Howmet Aerospace Inc.
HPQ,Palo Alto,CA,United States,Computer Hardware,Technology,58000,NYQ,HP Inc.,HP Inc.
HUBB,Shelton,CT,United States,Electrical Equipment & Parts,Industrials,17000,NYQ,Hubbell Inc,Hubbell Incorporated
HUM,Louisville,KY,United States,Healthcare Plans,Healthcare,67100,NYQ,Humana Inc.,Humana Inc.
HBAN,Columbus,OH,United States,Banks - Regional,Financial Services,19920,NMS,Huntington Bancshares Incorpora,Huntington Bancshares Incorporated
HII,Newport News,VA,United States,Aerospace & Defense,Industrials,43000,NYQ,"Huntington Ingalls Industries, ","Huntington Ingalls Industries, Inc."
IBM,Armonk,NY,United States,Information Technology Services,Technology,288300,NYQ,International Business Machines,International Business Machines Corporation
IEX,Northbrook,IL,United States,Specialty Industrial Machinery,Industrials,8868,NYQ,IDEX Corporation,IDEX Corporation
IDXX,Westbrook,ME,United States,Diagnostics & Research,Healthcare,11000,NMS,"IDEXX Laboratories, Inc.","IDEXX Laboratories, Inc."
ITW,Glenview,IL,United States,Specialty Industrial Machinery,Industrials,46000,NYQ,Illinois Tool Works Inc.,Illinois Tool Works Inc.
ILMN,San Diego,CA,United States,Diagnostics & Research,Healthcare,11500,NMS,"Illumina, Inc.","Illumina, Inc."
INCY,Wilmington,DE,United States,Biotechnology,Healthcare,2324,NMS,Incyte Corporation,Incyte Corporation
IR,Davidson,NC,United States,Specialty Industrial Machinery,Industrials,17000,NYQ,Ingersoll Rand Inc.,Ingersoll Rand Inc.
PODD,Acton,MA,United States,Medical Devices,Healthcare,2600,NMS,Insulet Corporation,Insulet Corporation
INTC,Santa Clara,CA,United States,Semiconductors,Technology,131900,NMS,Intel Corporation,Intel Corporation
ICE,Atlanta,GA,United States,Financial Data & Stock Exchanges,Financial Services,9116,NYQ,Intercontinental Exchange Inc.,"Intercontinental Exchange, Inc."
IFF,New York,NY,United States,Specialty Chemicals,Basic Materials,24600,NYQ,International Flavors & Fragran,International Flavors & Fragrances Inc.
IP,Memphis,TN,United States,Packaging & Containers,Consumer Cyclical,39000,NYQ,International Paper Company,International Paper Company
IPG,New York,NY,United States,Advertising Agencies,Communication Services,57800,NYQ,"Interpublic Group of Companies,","The Interpublic Group of Companies, Inc."
INTU,Mountain View,CA,United States,Software - Application,Technology,18200,NMS,Intuit Inc.,Intuit Inc.
ISRG,Sunnyvale,CA,United States,Medical Instruments & Supplies,Healthcare,12120,NMS,"Intuitive Surgical, Inc.","Intuitive Surgical, Inc."
IVZ,Atlanta,GA,United States,Asset Management,Financial Services,8621,NYQ,Invesco Ltd,Invesco Ltd.
INVH,Dallas,TX,United States,REIT - Residential,Real Estate,1511,NYQ,Invitation Homes Inc.,Invitation Homes Inc.
IQV,Durham,NC,United States,Diagnostics & Research,Healthcare,87000,NYQ,"IQVIA Holdings, Inc.",IQVIA Holdings Inc.
IRM,Portsmouth,NH,United States,REIT - Specialty,Real Estate,26000,NYQ,Iron Mountain Incorporated (Del,Iron Mountain Incorporated
JBHT,Lowell,AR,United States,Integrated Freight & Logistics,Industrials,37151,NMS,"J.B. Hunt Transport Services, I","J.B. Hunt Transport Services, Inc."
JKHY,Monett,MO,United States,Information Technology Services,Technology,7120,NMS,"Jack Henry & Associates, Inc.","Jack Henry & Associates, Inc."
J,Dallas,TX,United States,Engineering & Construction,Industrials,60000,NYQ,Jacobs Solutions Inc.,Jacobs Solutions Inc.
JNJ,New Brunswick,NJ,United States,Drug Manufacturers - General,Healthcare,152700,NYQ,Johnson & Johnson,Johnson & Johnson
JCI,Cork,,Ireland,Building Products & Equipment,Industrials,100000,NYQ,Johnson Controls International ,Johnson Controls International plc
JPM,New York,NY,United States,Banks - Diversified,Financial Services,308669,NYQ,JP Morgan Chase & Co.,JPMorgan Chase & Co.
JNPR,Sunnyvale,CA,United States,Communication Equipment,Technology,10901,NYQ,"Juniper Networks, Inc.","Juniper Networks, Inc."
K,Chicago,IL,United States,Packaged Foods,Consumer Defensive,30000,NYQ,Kellanova,Kellanova
KVUE,Skillman,NJ,United States,Household & Personal Products,Consumer Defensive,22000,NYQ,Kenvue Inc.,Kenvue Inc.
KDP,Burlington,MA,United States,Beverages - Non-Alcoholic,Consumer Defensive,28000,NMS,Keurig Dr Pepper Inc.,Keurig Dr Pepper Inc.
KEY,Cleveland,OH,United States,Banks - Regional,Financial Services,18891,NYQ,KeyCorp,KeyCorp
KEYS,Santa Rosa,CA,United States,Scientific & Technical Instruments,Technology,14800,NYQ,Keysight Technologies Inc.,"Keysight Technologies, Inc."
KMB,Dallas,TX,United States,Household & Personal Products,Consumer Defensive,44000,NYQ,Kimberly-Clark Corporation,Kimberly-Clark Corporation
KIM,Jericho,NY,United States,REIT - Retail,Real Estate,639,NYQ,Kimco Realty Corporation (HC),Kimco Realty Corporation
KMI,Houston,TX,United States,Oil & Gas Midstream,Energy,10525,NYQ,"Kinder Morgan, Inc.","Kinder Morgan, Inc."
KLAC,Milpitas,CA,United States,Semiconductor Equipment & Materials,Technology,15000,NMS,KLA Corporation,KLA Corporation
KHC,Pittsburgh,PA,United States,Packaged Foods,Consumer Defensive,37000,NMS,The Kraft Heinz Company,The Kraft Heinz Company
KR,Cincinnati,OH,United States,Grocery Stores,Consumer Defensive,500000,NYQ,Kroger Company (The),The Kroger Co.
LHX,Melbourne,FL,United States,Aerospace & Defense,Industrials,46000,NYQ,"L3Harris Technologies, Inc.","L3Harris Technologies, Inc."
LH,Burlington,NC,United States,Diagnostics & Research,Healthcare,60000,NYQ,Laboratory Corporation of Ameri,Laboratory Corporation of America Holdings
LRCX,Fremont,CA,United States,Semiconductor Equipment & Materials,Technology,17200,NMS,Lam Research Corporation,Lam Research Corporation
LW,Eagle,ID,United States,Packaged Foods,Consumer Defensive,10200,NYQ,"Lamb Weston Holdings, Inc.","Lamb Weston Holdings, Inc."
LVS,Las Vegas,NV,United States,Resorts & Casinos,Consumer Cyclical,35500,NYQ,Las Vegas Sands Corp.,Las Vegas Sands Corp.
LDOS,Reston,VA,United States,Information Technology Services,Technology,45000,NYQ,"Leidos Holdings, Inc.","Leidos Holdings, Inc."
LEN,Miami,FL,United States,Residential Construction,Consumer Cyclical,12012,NYQ,Lennar Corporation,Lennar Corporation
LIN,Woking,,United Kingdom,Specialty Chemicals,Basic Materials,66270,NYQ,Linde plc,Linde plc
LYV,Beverly Hills,CA,United States,Entertainment,Communication Services,12800,NYQ,"Live Nation Entertainment, Inc.","Live Nation Entertainment, Inc."
LKQ,Chicago,IL,United States,Auto Parts,Consumer Cyclical,45000,NMS,LKQ Corporation,LKQ Corporation
LMT,Bethesda,MD,United States,Aerospace & Defense,Industrials,116000,NYQ,Lockheed Martin Corporation,Lockheed Martin Corporation
L,New York,NY,United States,Insurance - Property & Casualty,Financial Services,12050,NYQ,Loews Corporation,Loews Corporation
LOW,Mooresville,NC,United States,Home Improvement Retail,Consumer Cyclical,300000,NYQ,"Lowe's Companies, Inc.","Lowe's Companies, Inc."
LULU,Vancouver,BC,Canada,Apparel Retail,Consumer Cyclical,34000,NMS,lululemon athletica inc.,Lululemon Athletica Inc.
LYB,Houston,TX,United States,Specialty Chemicals,Basic Materials,19300,NYQ,LyondellBasell Industries NV,LyondellBasell Industries N.V.
MTB,Buffalo,NY,United States,Banks - Regional,Financial Services,22210,NYQ,M&T Bank Corporation,M&T Bank Corporation
MRO,Houston,TX,United States,Oil & Gas E&P,Energy,1570,NYQ,Marathon Oil Corporation,Marathon Oil Corporation
MPC,Findlay,OH,United States,Oil & Gas Refining & Marketing,Energy,17800,NYQ,Marathon Petroleum Corporation,Marathon Petroleum Corporation
MKTX,New York,NY,United States,Capital Markets,Financial Services,744,NMS,"MarketAxess Holdings, Inc.",MarketAxess Holdings Inc.
MAR,Bethesda,MD,United States,Lodging,Consumer Cyclical,377000,NMS,Marriott International,"Marriott International, Inc."
MMC,New York,NY,United States,Insurance Brokers,Financial Services,85000,NYQ,"Marsh & McLennan Companies, Inc","Marsh & McLennan Companies, Inc."
MLM,Raleigh,NC,United States,Building Materials,Basic Materials,9400,NYQ,"Martin Marietta Materials, Inc.","Martin Marietta Materials, Inc."
MAS,Livonia,MI,United States,Building Products & Equipment,Industrials,19000,NYQ,Masco Corporation,Masco Corporation
MA,Purchase,NY,United States,Credit Services,Financial Services,29900,NYQ,Mastercard Incorporated,Mastercard Incorporated
MTCH,Dallas,TX,United States,Internet Content & Information,Communication Services,2700,NMS,"Match Group, Inc.","Match Group, Inc."
MKC,Hunt Valley,MD,United States,Packaged Foods,Consumer Defensive,14200,NYQ,"McCormick & Company, Incorporat","McCormick & Company, Incorporated"
MCD,Chicago,IL,United States,Restaurants,Consumer Cyclical,100000,NYQ,McDonald's Corporation,McDonald's Corporation
MCK,Irving,TX,United States,Medical Distribution,Healthcare,45000,NYQ,McKesson Corporation,McKesson Corporation
MDT,Dublin,,Ireland,Medical Devices,Healthcare,95000,NYQ,Medtronic plc.,Medtronic plc
MRK,Rahway,NJ,United States,Drug Manufacturers - General,Healthcare,67000,NYQ,"Merck & Company, Inc.","Merck & Co., Inc."
META,Menlo Park,CA,United States,Internet Content & Information,Communication Services,71469,NMS,"Meta Platforms, Inc.","Meta Platforms, Inc."
MET,New York,NY,United States,Insurance - Life,Financial Services,45000,NYQ,"MetLife, Inc.","MetLife, Inc."
MTD,Columbus,OH,United States,Diagnostics & Research,Healthcare,16400,NYQ,"Mettler-Toledo International, I",Mettler-Toledo International Inc.
MGM,Las Vegas,NV,United States,Resorts & Casinos,Consumer Cyclical,57000,NYQ,MGM Resorts International,MGM Resorts International
MCHP,Chandler,AZ,United States,Semiconductors,Technology,22600,NMS,Microchip Technology Incorporat,Microchip Technology Incorporated
MU,Boise,ID,United States,Semiconductors,Technology,43000,NMS,"Micron Technology, Inc.","Micron Technology, Inc."
MSFT,Redmond,WA,United States,Software - Infrastructure,Technology,221000,NMS,Microsoft Corporation,Microsoft Corporation
MAA,Germantown,TN,United States,REIT - Residential,Real Estate,2387,NYQ,Mid-America Apartment Communiti,"Mid-America Apartment Communities, Inc."
MRNA,Cambridge,MA,United States,Biotechnology,Healthcare,3900,NMS,"Moderna, Inc.","Moderna, Inc."
MHK,Calhoun,GA,United States,"Furnishings, Fixtures & Appliances",Consumer Cyclical,40900,NYQ,"Mohawk Industries, Inc.","Mohawk Industries, Inc."
MOH,Long Beach,CA,United States,Healthcare Plans,Healthcare,15000,NYQ,Molina Healthcare Inc,"Molina Healthcare, Inc."
TAP,Golden,CO,United States,Beverages - Brewers,Consumer Defensive,16600,NYQ,Molson Coors Beverage Company,Molson Coors Beverage Company
MDLZ,Chicago,IL,United States,Confectioners,Consumer Defensive,91000,NMS,"Mondelez International, Inc.","Mondelez International, Inc."
MPWR,Kirkland,WA,United States,Semiconductors,Technology,3247,NMS,"Monolithic Power Systems, Inc.","Monolithic Power Systems, Inc."
MNST,Corona,CA,United States,Beverages - Non-Alcoholic,Consumer Defensive,4607,NMS,Monster Beverage Corporation,Monster Beverage Corporation
MCO,New York,NY,United States,Financial Data & Stock Exchanges,Financial Services,14635,NYQ,Moody's Corporation,Moody's Corporation
MS,New York,NY,United States,Capital Markets,Financial Services,80710,NYQ,Morgan Stanley,Morgan Stanley
MOS,Tampa,FL,United States,Agricultural Inputs,Basic Materials,13570,NYQ,Mosaic Company (The),The Mosaic Company
MSI,Chicago,IL,United States,Communication Equipment,Technology,20000,NYQ,"Motorola Solutions, Inc.","Motorola Solutions, Inc."
MSCI,New York,NY,United States,Financial Data & Stock Exchanges,Financial Services,4980,NYQ,MSCI Inc.,MSCI Inc.
NDAQ,New York,NY,United States,Financial Data & Stock Exchanges,Financial Services,6377,NMS,"Nasdaq, Inc.","Nasdaq, Inc."
NTAP,San Jose,CA,United States,Computer Hardware,Technology,12000,NMS,"NetApp, Inc.","NetApp, Inc."
NFLX,Los Gatos,CA,United States,Entertainment,Communication Services,12800,NMS,"Netflix, Inc.","Netflix, Inc."
NEM,Denver,CO,United States,Gold,Basic Materials,14600,NYQ,Newmont Corporation,Newmont Corporation
NWSA,New York,NY,United States,Entertainment,Communication Services,25000,NMS,News Corporation,News Corporation
NWS,New York,NY,United States,Entertainment,Communication Services,25000,NMS,News Corporation,News Corporation
NEE,Juno Beach,FL,United States,Utilities - Regulated Electric,Utilities,15300,NYQ,"NextEra Energy, Inc.","NextEra Energy, Inc."
NKE,Beaverton,OR,United States,Footwear & Accessories,Consumer Cyclical,83700,NYQ,"Nike, Inc.","NIKE, Inc."
NI,Merrillville,IN,United States,Utilities - Regulated Gas,Utilities,7117,NYQ,NiSource Inc,NiSource Inc.
NDSN,Westlake,OH,United States,Specialty Industrial Machinery,Industrials,7200,NMS,Nordson Corporation,Nordson Corporation
NSC,Atlanta,GA,United States,Railroads,Industrials,19300,NYQ,Norfolk Southern Corporation,Norfolk Southern Corporation
NTRS,Chicago,IL,United States,Asset Management,Financial Services,23300,NMS,Northern Trust Corporation,Northern Trust Corporation
NOC,Falls Church,VA,United States,Aerospace & Defense,Industrials,95000,NYQ,Northrop Grumman Corporation,Northrop Grumman Corporation
NCLH,Miami,FL,United States,Travel Services,Consumer Cyclical,38900,NYQ,Norwegian Cruise Line Holdings ,Norwegian Cruise Line Holdings Ltd.
NRG,Houston,TX,United States,Utilities - Independent Power Producers,Utilities,6603,NYQ,"NRG Energy, Inc.","NRG Energy, Inc."
NUE,Charlotte,NC,United States,Steel,Basic Materials,31400,NYQ,Nucor Corporation,Nucor Corporation
NVDA,Santa Clara,CA,United States,Semiconductors,Technology,26196,NMS,NVIDIA Corporation,NVIDIA Corporation
NVR,Reston,VA,United States,Residential Construction,Consumer Cyclical,6550,NYQ,"NVR, Inc.","NVR, Inc."
NXPI,Eindhoven,,Netherlands,Semiconductors,Technology,34500,NMS,NXP Semiconductors N.V.,NXP Semiconductors N.V.
ORLY,Springfield,MO,United States,Specialty Retail,Consumer Cyclical,88149,NMS,"O'Reilly Automotive, Inc.","O'Reilly Automotive, Inc."
OXY,Houston,TX,United States,Oil & Gas E&P,Energy,11973,NYQ,Occidental Petroleum Corporatio,Occidental Petroleum Corporation
ODFL,Thomasville,NC,United States,Trucking,Industrials,22717,NMS,"Old Dominion Freight Line, Inc.","Old Dominion Freight Line, Inc."
OMC,New York,NY,United States,Advertising Agencies,Communication Services,74200,NYQ,Omnicom Group Inc.,Omnicom Group Inc.
ON,Scottsdale,AZ,United States,Semiconductors,Technology,31000,NMS,ON Semiconductor Corporation,ON Semiconductor Corporation
OKE,Tulsa,OK,United States,Oil & Gas Midstream,Energy,2966,NYQ,"ONEOK, Inc.","ONEOK, Inc."
ORCL,Austin,TX,United States,Software - Infrastructure,Technology,164000,NYQ,Oracle Corporation,Oracle Corporation
OTIS,Farmington,CT,United States,Specialty Industrial Machinery,Industrials,69000,NYQ,Otis Worldwide Corporation,Otis Worldwide Corporation
PCAR,Bellevue,WA,United States,Farm & Heavy Construction Machinery,Industrials,31100,NMS,PACCAR Inc.,PACCAR Inc
PKG,Lake Forest,IL,United States,Packaging & Containers,Consumer Cyclical,15100,NYQ,Packaging Corporation of Americ,Packaging Corporation of America
PANW,Santa Clara,CA,United States,Software - Infrastructure,Technology,13948,NMS,"Palo Alto Networks, Inc.","Palo Alto Networks, Inc."
PARA,New York,NY,United States,Entertainment,Communication Services,24500,NMS,Paramount Global,Paramount Global
PH,Cleveland,OH,United States,Specialty Industrial Machinery,Industrials,62730,NYQ,Parker-Hannifin Corporation,Parker-Hannifin Corporation
PAYX,Rochester,NY,United States,Staffing & Employment Services,Industrials,16600,NMS,"Paychex, Inc.","Paychex, Inc."
PAYC,Oklahoma City,OK,United States,Software - Application,Technology,6349,NYQ,"Paycom Software, Inc.","Paycom Software, Inc."
PYPL,San Jose,CA,United States,Credit Services,Financial Services,29900,NMS,"PayPal Holdings, Inc.","PayPal Holdings, Inc."
PNR,London,,United Kingdom,Specialty Industrial Machinery,Industrials,11250,NYQ,Pentair plc.,Pentair plc
PEP,Purchase,NY,United States,Beverages - Non-Alcoholic,Consumer Defensive,315000,NMS,"Pepsico, Inc.","PepsiCo, Inc."
PFE,New York,NY,United States,Drug Manufacturers - General,Healthcare,83000,NYQ,"Pfizer, Inc.",Pfizer Inc.
PCG,Oakland,CA,United States,Utilities - Regulated Electric,Utilities,26010,NYQ,Pacific Gas & Electric Co.,PG&E Corporation
PM,Stamford,CT,United States,Tobacco,Consumer Defensive,79800,NYQ,Philip Morris International Inc,Philip Morris International Inc.
PSX,Houston,TX,United States,Oil & Gas Refining & Marketing,Energy,13000,NYQ,Phillips 66,Phillips 66
PNW,Phoenix,AZ,United States,Utilities - Regulated Electric,Utilities,5861,NYQ,Pinnacle West Capital Corporati,Pinnacle West Capital Corporation
PXD,Irving,TX,United States,Oil & Gas E&P,Energy,2076,NYQ,Pioneer Natural Resources Compa,Pioneer Natural Resources Company
PNC,Pittsburgh,PA,United States,Banks - Regional,Financial Services,59894,NYQ,"PNC Financial Services Group, I","The PNC Financial Services Group, Inc."
POOL,Covington,LA,United States,Industrial Distribution,Industrials,6000,NMS,Pool Corporation,Pool Corporation
PPG,Pittsburgh,PA,United States,Specialty Chemicals,Basic Materials,50000,NYQ,"PPG Industries, Inc.","PPG Industries, Inc."
PPL,Allentown,PA,United States,Utilities - Regulated Electric,Utilities,6527,NYQ,PPL Corporation,PPL Corporation
PFG,Des Moines,IA,United States,Asset Management,Financial Services,19300,NMS,Principal Financial Group Inc,"Principal Financial Group, Inc."
PG,Cincinnati,OH,United States,Household & Personal Products,Consumer Defensive,107000,NYQ,Procter & Gamble Company (The),The Procter & Gamble Company
PGR,Mayfield,OH,United States,Insurance - Property & Casualty,Financial Services,55100,NYQ,Progressive Corporation (The),The Progressive Corporation
PLD,San Francisco,CA,United States,REIT - Industrial,Real Estate,2466,NYQ,"Prologis, Inc.","Prologis, Inc."
PRU,Newark,NJ,United States,Insurance - Life,Financial Services,39583,NYQ,"Prudential Financial, Inc.","Prudential Financial, Inc."
PEG,Newark,NJ,United States,Utilities - Regulated Electric,Utilities,12525,NYQ,Public Service Enterprise Group,Public Service Enterprise Group Incorporated
PTC,Boston,MA,United States,Software - Application,Technology,7165,NMS,PTC Inc.,PTC Inc.
PSA,Glendale,CA,United States,REIT - Industrial,Real Estate,5900,NYQ,Public Storage,Public Storage
PHM,Atlanta,GA,United States,Residential Construction,Consumer Cyclical,6524,NYQ,"PulteGroup, Inc.","PulteGroup, Inc."
QRVO,Greensboro,NC,United States,Semiconductors,Technology,8500,NMS,"Qorvo, Inc.","Qorvo, Inc."
PWR,Houston,TX,United States,Engineering & Construction,Industrials,47300,NYQ,"Quanta Services, Inc.","Quanta Services, Inc."
QCOM,San Diego,CA,United States,Semiconductors,Technology,51000,NMS,QUALCOMM Incorporated,QUALCOMM Incorporated
DGX,Secaucus,NJ,United States,Diagnostics & Research,Healthcare,40000,NYQ,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated
RL,New York,NY,United States,Apparel Manufacturing,Consumer Cyclical,14900,NYQ,Ralph Lauren Corporation,Ralph Lauren Corporation
RJF,Saint Petersburg,FL,United States,Capital Markets,Financial Services,17000,NYQ,"Raymond James Financial, Inc.","Raymond James Financial, Inc."
RTX,Arlington,VA,United States,Aerospace & Defense,Industrials,182000,NYQ,RTX Corporation,RTX Corporation
O,San Diego,CA,United States,REIT - Retail,Real Estate,391,NYQ,Realty Income Corporation,Realty Income Corporation
REG,Jacksonville,FL,United States,REIT - Retail,Real Estate,440,NMS,Regency Centers Corporation,Regency Centers Corporation
REGN,Tarrytown,NY,United States,Biotechnology,Healthcare,12256,NMS,"Regeneron Pharmaceuticals, Inc.","Regeneron Pharmaceuticals, Inc."
RF,Birmingham,AL,United States,Banks - Regional,Financial Services,20349,NYQ,Regions Financial Corporation,Regions Financial Corporation
RSG,Phoenix,AZ,United States,Waste Management,Industrials,40000,NYQ,"Republic Services, Inc.","Republic Services, Inc."
RMD,San Diego,CA,United States,Medical Instruments & Supplies,Healthcare,10140,NYQ,ResMed Inc.,ResMed Inc.
RVTY,Waltham,MA,United States,Diagnostics & Research,Healthcare,11000,NYQ,"Revvity, Inc.","Revvity, Inc."
RHI,Menlo Park,CA,United States,Staffing & Employment Services,Industrials,16300,NYQ,Robert Half Inc.,Robert Half Inc.
ROK,Milwaukee,WI,United States,Specialty Industrial Machinery,Industrials,26000,NYQ,"Rockwell Automation, Inc.","Rockwell Automation, Inc."
ROL,Atlanta,GA,United States,Personal Services,Consumer Cyclical,17515,NYQ,"Rollins, Inc.","Rollins, Inc."
ROP,Sarasota,FL,United States,Software - Application,Technology,15800,NMS,"Roper Technologies, Inc.","Roper Technologies, Inc."
ROST,Dublin,CA,United States,Apparel Retail,Consumer Cyclical,101000,NMS,"Ross Stores, Inc.","Ross Stores, Inc."
RCL,Miami,FL,United States,Travel Services,Consumer Cyclical,102400,NYQ,Royal Caribbean Cruises Ltd.,Royal Caribbean Cruises Ltd.
SPGI,New York,NY,United States,Financial Data & Stock Exchanges,Financial Services,39660,NYQ,S&P Global Inc.,S&P Global Inc.
CRM,San Francisco,CA,United States,Software - Application,Technology,79390,NYQ,"Salesforce, Inc.","Salesforce, Inc."
SBAC,Boca Raton,FL,United States,REIT - Specialty,Real Estate,1834,NMS,SBA Communications Corporation,SBA Communications Corporation
SLB,Houston,TX,United States,Oil & Gas Equipment & Services,Energy,99000,NYQ,Schlumberger N.V.,Schlumberger Limited
STX,Dublin,,Ireland,Computer Hardware,Technology,33400,NMS,Seagate Technology Holdings PLC,Seagate Technology Holdings plc
SEE,Charlotte,NC,United States,Packaging & Containers,Consumer Cyclical,16300,NYQ,Sealed Air Corporation,Sealed Air Corporation
SRE,San Diego,CA,United States,Utilities - Diversified,Utilities,15785,NYQ,DBA Sempra,Sempra
NOW,Santa Clara,CA,United States,Software - Application,Technology,20433,NYQ,"ServiceNow, Inc.","ServiceNow, Inc."
SHW,Cleveland,OH,United States,Specialty Chemicals,Basic Materials,64366,NYQ,Sherwin-Williams Company (The),The Sherwin-Williams Company
SPG,Indianapolis,IN,United States,REIT - Retail,Real Estate,2500,NYQ,"Simon Property Group, Inc.","Simon Property Group, Inc."
SWKS,Irvine,CA,United States,Semiconductors,Technology,11150,NMS,"Skyworks Solutions, Inc.","Skyworks Solutions, Inc."
SJM,Orrville,OH,United States,Packaged Foods,Consumer Defensive,5800,NYQ,J.M. Smucker Company (The) New,The J. M. Smucker Company
SNA,Kenosha,WI,United States,Tools & Accessories,Industrials,12900,NYQ,Snap-On Incorporated,Snap-on Incorporated
SEDG,Herzliya,,Israel,Solar,Technology,4926,NMS,"SolarEdge Technologies, Inc.","SolarEdge Technologies, Inc."
SO,Atlanta,GA,United States,Utilities - Regulated Electric,Utilities,27423,NYQ,Southern Company (The),The Southern Company
LUV,Dallas,TX,United States,Airlines,Industrials,71299,NYQ,Southwest Airlines Company,Southwest Airlines Co.
SWK,New Britain,CT,United States,Tools & Accessories,Industrials,50000,NYQ,"Stanley Black & Decker, Inc.","Stanley Black & Decker, Inc."
SBUX,Seattle,WA,United States,Restaurants,Consumer Cyclical,402000,NMS,Starbucks Corporation,Starbucks Corporation
STT,Boston,MA,United States,Asset Management,Financial Services,42000,NYQ,State Street Corporation,State Street Corporation
STLD,Fort Wayne,IN,United States,Steel,Basic Materials,12060,NMS,"Steel Dynamics, Inc.","Steel Dynamics, Inc."
STE,Dublin,,Ireland,Medical Devices,Healthcare,17000,NYQ,STERIS plc (Ireland),STERIS plc
SYK,Kalamazoo,MI,United States,Medical Devices,Healthcare,51000,NYQ,Stryker Corporation,Stryker Corporation
SYF,Stamford,CT,United States,Credit Services,Financial Services,18500,NYQ,Synchrony Financial,Synchrony Financial
SNPS,Mountain View,CA,United States,Software - Infrastructure,Technology,19000,NMS,"Synopsys, Inc.","Synopsys, Inc."
SYY,Houston,TX,United States,Food Distribution,Consumer Defensive,72000,NYQ,Sysco Corporation,Sysco Corporation
TMUS,Bellevue,WA,United States,Telecom Services,Communication Services,71000,NMS,"T-Mobile US, Inc.","T-Mobile US, Inc."
TROW,Baltimore,MD,United States,Asset Management,Financial Services,7903,NMS,"T. Rowe Price Group, Inc.","T. Rowe Price Group, Inc."
TTWO,New York,NY,United States,Electronic Gaming & Multimedia,Communication Services,11580,NMS,"Take-Two Interactive Software, ","Take-Two Interactive Software, Inc."
TPR,New York,NY,United States,Luxury Goods,Consumer Cyclical,12600,NYQ,"Tapestry, Inc.","Tapestry, Inc."
TRGP,Houston,TX,United States,Oil & Gas Midstream,Energy,2850,NYQ,"Targa Resources, Inc.",Targa Resources Corp.
TGT,Minneapolis,MN,United States,Discount Stores,Consumer Defensive,440000,NYQ,Target Corporation,Target Corporation
TEL,Schaffhausen,,Switzerland,Electronic Components,Technology,92000,NYQ,TE Connectivity Ltd. New Switze,TE Connectivity Ltd.
TDY,Thousand Oaks,CA,United States,Scientific & Technical Instruments,Technology,14700,NYQ,Teledyne Technologies Incorpora,Teledyne Technologies Incorporated
TFX,Wayne,PA,United States,Medical Instruments & Supplies,Healthcare,15500,NYQ,Teleflex Incorporated,Teleflex Incorporated
