iter	Accuracy	MultiClass
0	0.5648854962	1.435974544
1	0.6132315522	1.332338441
2	0.6005089059	1.237290122
3	0.6183206107	1.181278342
4	0.6208651399	1.128007513
5	0.6234096692	1.091686902
6	0.6564885496	1.049611184
7	0.6870229008	1.012145626
8	0.7022900763	0.9854252733
9	0.7302798982	0.94532404
10	0.7251908397	0.919300969
11	0.7328244275	0.8999279063
12	0.737913486	0.8853185971
13	0.7480916031	0.8625071092
14	0.7633587786	0.8423531173
15	0.7735368957	0.8224688419
16	0.7811704835	0.7950000835
17	0.7913486005	0.7794527015
18	0.8244274809	0.7561548532
19	0.8269720102	0.7356344287
20	0.8295165394	0.7201525737
21	0.8498727735	0.7041061016
22	0.8676844784	0.6826239577
23	0.8651399491	0.6707502821
24	0.8753180662	0.6532443361
25	0.8829516539	0.6383182474
26	0.9007633588	0.6194917131
27	0.9109414758	0.6050708544
28	0.9211195929	0.5853074354
29	0.9287531807	0.5707933952
30	0.9363867684	0.556976535
31	0.9465648855	0.5412387057
32	0.9567430025	0.5256025638
33	0.9592875318	0.5168497726
34	0.9567430025	0.5085997474
35	0.9592875318	0.4956502291
36	0.9618320611	0.4848506773
37	0.9643765903	0.4728022086
38	0.9643765903	0.4644121442
39	0.9669211196	0.4533953063
40	0.9643765903	0.4434470542
41	0.9643765903	0.432037153
42	0.9745547074	0.4239990692
43	0.9745547074	0.4134958115
44	0.9745547074	0.4031027517
45	0.9770992366	0.3951510767
46	0.9770992366	0.3889247367
47	0.9796437659	0.3805166547
48	0.9821882952	0.3759288334
49	0.9847328244	0.3668440546
50	0.9847328244	0.3602146773
51	0.9847328244	0.3540966933
52	0.9872773537	0.3478579471
53	0.9872773537	0.3425871137
54	0.9923664122	0.335845559
55	0.9949109415	0.3298570819
56	0.9974554707	0.3246325406
57	0.9974554707	0.3169987841
58	1	0.3142694707
59	0.9974554707	0.3073245265
60	1	0.3026276882
61	1	0.2983455658
62	0.9974554707	0.2933331071
63	1	0.2884727522
64	1	0.2847670943
65	1	0.2806993178
66	1	0.2757718085
67	1	0.270880815
68	1	0.266434095
69	1	0.2624955911
70	1	0.257913509
71	1	0.2559363128
72	1	0.2511108901
73	1	0.2456577754
74	1	0.2422099947
75	1	0.2377512582
76	1	0.2327888223
77	1	0.2299823792
78	1	0.2259857996
79	1	0.2214336268
80	1	0.2186465215
81	1	0.2142175111
82	1	0.2102864399
83	1	0.2086332858
84	1	0.205838009
85	1	0.202945371
86	1	0.2003211416
87	1	0.1963206878
88	1	0.1942235212
89	1	0.1926644472
90	1	0.190282667
91	1	0.187706932
92	1	0.1865955669
93	1	0.1839950823
94	1	0.1819477622
95	1	0.179398915
96	1	0.1780859715
97	1	0.1758783357
98	1	0.1738060241
99	1	0.1723222322
100	1	0.1696255742
101	1	0.167206132
102	1	0.1652363072
103	1	0.1630920285
104	1	0.1613537376
105	1	0.1594129509
106	1	0.1578956056
107	1	0.1562639975
108	1	0.1541463714
109	1	0.1525812678
110	1	0.1510804319
111	1	0.1495908254
112	1	0.1483300364
113	1	0.1465728763
114	1	0.1446590593
115	1	0.1435066789
116	1	0.1425917328
117	1	0.1408263552
118	1	0.1393052738
119	1	0.1381127202
120	1	0.1364463127
121	1	0.135784141
122	1	0.1340450208
123	1	0.1324644914
124	1	0.1312980522
125	1	0.1297461032
126	1	0.1283808511
127	1	0.1267018535
128	1	0.125818727
129	1	0.12430838
130	1	0.1231624155
131	1	0.1220922085
132	1	0.1212616567
133	1	0.1203811356
134	1	0.1189684831
135	1	0.117697142
136	1	0.1170377744
137	1	0.1159074083
138	1	0.114793867
139	1	0.1136649346
140	1	0.1125028851
141	1	0.1113798478
142	1	0.1100945089
143	1	0.1090460925
144	1	0.107982308
145	1	0.1069283753
146	1	0.1059367452
147	1	0.1049752107
148	1	0.1038784673
149	1	0.1025571757
150	1	0.1018862374
151	1	0.1009141071
152	1	0.1002239096
153	1	0.09938763514
154	1	0.09847631383
155	1	0.09787036136
156	1	0.09705798316
157	1	0.09603402484
158	1	0.09532466843
159	1	0.09463799323
160	1	0.0937811993
161	1	0.09318375556
162	1	0.09262539825
163	1	0.09194777292
164	1	0.09123425906
165	1	0.09087087577
166	1	0.09039216481
167	1	0.08962896236
168	1	0.08891357308
169	1	0.08824475088
170	1	0.08767260182
171	1	0.08695908572
172	1	0.08634283626
173	1	0.08561713385
174	1	0.08514097148
175	1	0.084428313
176	1	0.08374390462
177	1	0.08323452731
178	1	0.08257602986
179	1	0.08196669445
180	1	0.08168958752
181	1	0.08103364582
182	1	0.08045620906
183	1	0.07998229204
184	1	0.07937376611
185	1	0.07886991838
186	1	0.07824926431
187	1	0.0775823915
188	1	0.07732837058
189	1	0.07696068093
190	1	0.07651313612
191	1	0.07602164139
192	1	0.07550723085
193	1	0.075131835
194	1	0.074552145
195	1	0.07406763227
196	1	0.07357827421
197	1	0.07318795185
198	1	0.07278484546
199	1	0.07230686817
